Nom du fichier,Année(s) extraite(s)
CO_000093_011_texte.txt.xml,1911
CH_00000108_texte.txt.xml,1852
CS_000015_015_texte.txt.xml,1902
CI_000001_001_texte.txt.xml,1875
CA_000004_001_texte.txt.xml,1839
CY_000108_014_texte.txt.xml,1894
CY_000102_008_texte.txt.xml,1888
CP_000003_001_texte.txt.xml,1871
CY_000113_019_texte.txt.xml,1899
CO_000090_008_texte.txt.xml,1934
CS_000022_022_texte.txt.xml,1909
CS_000004_004_texte.txt.xml,1891
CY_000117_023_texte.txt.xml,1903
CI_000004_001_texte.txt.xml,1880
CA_000001_001_texte.txt.xml,1854
CY_000119_001_texte.txt.xml,1905
CL_000007_001_texte.txt.xml,1893
CY_000111_017_texte.txt.xml,1897
CY_000097_003_texte.txt.xml,1883
CA_000001_002_texte.txt.xml,1854
CA_000005_001_texte.txt.xml,1844
CL_000003_001_texte.txt.xml,1925
CS_000026_026_texte.txt.xml,1913
CY_000105_011_texte.txt.xml,1891
CS_000011_011_texte.txt.xml,1898
CP_000002_001_texte.txt.xml,1870
CA_000004_002_texte.txt.xml,1839
CY_000100_006_texte.txt.xml,1886
CH_00000105_texte.txt.xml,1849
CP_000004_001_texte.txt.xml,1872
CH_00000112_texte.txt.xml,1856
CS_000019_019_texte.txt.xml,1906
CY_000114_020_texte.txt.xml,1900
CS_000021_021_texte.txt.xml,1908
CS_000007_007_texte.txt.xml,1894
CH_00000116_texte.txt.xml,1860
CH_00000101_texte.txt.xml,1845
CI_000003_001_texte.txt.xml,1878
CP_000001_001_texte.txt.xml,1869
CY_000099_005_texte.txt.xml,1885
CA_000003_001_texte.txt.xml,1893
CA_000007_002_texte.txt.xml,1866
CS_000016_016_texte.txt.xml,1903
CS_000008_008_texte.txt.xml,1895
CO_000088_006_texte.txt.xml,1895
CS_000012_012_texte.txt.xml,1899
CA_000007_001_texte.txt.xml,1866
CA_000003_002_texte.txt.xml,1893
CI_000002_001_texte.txt.xml,1877
CH_00000111_texte.txt.xml,1855
CH_00000106_texte.txt.xml,1850
CY_000094_000_texte.txt.xml,1876
CA_000002_001_texte.txt.xml,1905
CH_00000102_texte.txt.xml,1846
CH_00000115_texte.txt.xml,1859
CY_000106_012_texte.txt.xml,1892
CS_000003_003_texte.txt.xml,1890
CS_000025_025_texte.txt.xml,1912
CS_000020_020_texte.txt.xml,1907
CS_000006_006_texte.txt.xml,1893
CY_000115_021_texte.txt.xml,1901
CS_000018_018_texte.txt.xml,1905
CS_000009_009_texte.txt.xml,1896
CO_000089_007_texte.txt.xml,1901
CH_00000114_texte.txt.xml,1858
CS_000017_017_texte.txt.xml,1904
CH_00000103_texte.txt.xml,1847
CL_000008_001_texte.txt.xml,1862
CY_000098_004_texte.txt.xml,1884
CH_00000107_texte.txt.xml,1851
CH_00000110_texte.txt.xml,1854
CH_00000117_texte.txt.xml,1861
CY_000118_024_texte.txt.xml,1904
CH_00000113_texte.txt.xml,1857
CS_000013_013_texte.txt.xml,1900
CH_00000104_texte.txt.xml,1848
CS_000002_002_texte.txt.xml,1889
CS_000024_024_texte.txt.xml,1911
CY_000107_013_texte.txt.xml,1893
CA_000007_003_texte.txt.xml,1867
CY_000095_001_texte.txt.xml,1881
CY_000103_009_texte.txt.xml,1889
CY_000109_015_texte.txt.xml,1895
CS_000014_014_texte.txt.xml,1901
CA_000010_001_texte.txt.xml,1886
CA_000014_002_texte.txt.xml,1829
CY_000120_001_texte.txt.xml,1906
CA_000004_003_texte.txt.xml,1857
CY_000116_022_texte.txt.xml,1902
CS_000023_023_texte.txt.xml,1910
CS_000005_005_texte.txt.xml,1892
CY_000112_018_texte.txt.xml,1898
CO_000091_009_texte.txt.xml,1913
CA_000008_002_texte.txt.xml,1858
CY_000104_010_texte.txt.xml,1890
CA_000014_001_texte.txt.xml,1829
CS_000001_001_texte.txt.xml,1888
CA_000010_002_texte.txt.xml,1886
CS_000027_027_texte.txt.xml,1915
CY_000096_002_texte.txt.xml,1882
CO_000087_005_texte.txt.xml,1825
CH_00000077_texte.txt.xml,1887
CA_000008_001_texte.txt.xml,1858
CH_00000109_texte.txt.xml,1853
CY_000110_016_texte.txt.xml,1896
CA_000011_001_texte.txt.xml,1888
CY_000101_007_texte.txt.xml,1887
CY_000121_001_texte.txt.xml,1907
CS_000028_028_texte.txt.xml,1918
CS_000010_010_texte.txt.xml,1897
