Année de publication,Nombre d'ouvrages du corpus Charcot,Nombre d'ouvrages du corpus Autres
1825,0,1
1829,0,2
1839,0,2
1844,0,1
1845,0,1
1846,0,1
1847,0,1
1848,0,1
1849,0,1
1850,0,1
1851,0,1
1852,0,1
1853,0,1
1854,0,3
1855,0,1
1856,0,1
1857,0,2
1858,0,3
1859,0,1
1860,0,1
1861,0,1
1862,0,1
1866,0,2
1867,0,1
1869,0,1
1870,0,1
1871,0,1
1872,0,1
1875,0,1
1876,0,1
1877,0,1
1878,0,1
1880,0,1
1881,3,1
1882,2,1
1883,2,1
1884,2,1
1885,2,1
1886,3,3
1887,2,2
1888,3,3
1889,4,2
1890,5,2
1891,4,2
1892,4,2
1893,4,5
1894,2,2
1895,2,3
1896,2,2
1897,2,2
1898,2,2
1899,2,2
1900,2,2
1901,2,3
1902,2,2
1903,2,2
1904,2,2
1905,2,3
1906,3,2
1907,1,2
1908,0,1
1909,0,1
1910,0,1
1911,0,2
1912,0,1
1913,0,2
1915,0,1
1918,0,1
1925,0,1
1934,0,1
